ShipmentMonth,ConsigneeStateRegion,ConsigneeCountry,ShipmentOrigin,Province,CountryOfSale,TransportMethod,IsContainerized,ValueOfGoodsUSD,HSCode,TradeType
2015-01-01,Guangdong,China,Indonesia,Guangdong Province,HongKong,Motor Vehicle Transportation,Yes,1952.0,940161,Ordinary Trade
2015-01-01,Beijing Shi,China,Indonesia,Beijing Municipality,Indonesia,River-Sea Transportation,Yes,7623.0,940161,Ordinary Trade
2015-01-01,Guangdong,China,China,Guangdong Province,HongKong,Motor Vehicle Transportation,Yes,232.0,940161,Ordinary Trade
2015-01-01,Tianjin,China,Indonesia,Tianjin Municipality,United States,River-Sea Transportation,Yes,6853.0,940161,Ordinary Trade
2015-01-01,Beijing,China,Italy,Beijing Municipality,Italy,River-Sea Transportation,Yes,8497.0,940161,Ordinary Trade
2015-01-01,Beijing,China,France,Beijing Municipality,France,River-Sea Transportation,Yes,180.0,940161,Ordinary Trade
2015-01-01,Xinjiang,China,Vietnam,Xinjiang Uyghur Autonomous Region,Vietnam,River-Sea Transportation,Yes,94830.0,940360,Ordinary Trade
2015-01-01,Shandong,China,Italy,Shandong Province,Italy,River-Sea Transportation,Yes,16531.0,940360,Ordinary Trade
2015-01-01,Shanghai,China,Latvia,Shanghai Municipality,Lithuania,River-Sea Transportation,Yes,3009.0,940360,Inbound/Outbound Goods in Bonded Warehouses
2015-01-01,Shanghai Shi,China,Belgium,Shanghai Municipality,Belgium,River-Sea Transportation,Yes,8576.0,940360,Ordinary Trade
2015-01-01,Shanghai Shi,China,Bosnia and Herzegovina,Shanghai Municipality,Czech Republic,River-Sea Transportation,Yes,6619.0,940360,Inbound/Outbound Goods in Bonded Warehouses
2015-01-01,Sichuan Sheng,China,Poland,Sichuan Province,France,River-Sea Transportation,Yes,3865.0,940360,Ordinary Trade
2015-01-01,Shanghai,China,Taiwan,Shanghai Municipality,Taiwan,Air Transport,Yes,19000.0,940360,Others
2015-01-01,Shanghai Shi,China,France,Shanghai Municipality,France,River-Sea Transportation,Yes,93758.0,940360,Ordinary Trade
2015-01-01,Hebei,China,South Africa,Hebei Province,South Africa,Air Transport,Yes,3105.0,940360,Others
2015-01-01,Jiangsu,China,Belgium,Jiangsu Province,Belgium,River-Sea Transportation,Yes,45004.0,940360,Ordinary Trade
2015-01-01,Jiangsu Sheng,China,Denmark,Jiangsu Province,HongKong,Motor Vehicle Transportation,Yes,873.0,940360,Ordinary Trade
2015-01-01,Jiangsu Sheng,China,Vietnam,Jiangsu Province,United States,River-Sea Transportation,Yes,4751.0,940360,Ordinary Trade
2015-01-01,Guangdong,China,Thailand,Guangdong Province,Thailand,Air Transport,Yes,130.0,940390,Ordinary Trade
2015-01-01,Zhejiang,China,Indonesia,Zhejiang Province,Indonesia,River-Sea Transportation,Yes,1804.0,940390,Ordinary Trade
2015-01-01,Shanghai,China,Taiwan,Shanghai Municipality,Taiwan,River-Sea Transportation,Yes,301136.0,940390,Inbound/Outbound Goods in Bonded Warehouses
2015-01-01,Tianjin,China,Germany,Tianjin Municipality,Germany,Air Transport,Yes,110.0,940390,Others
2015-01-01,Guangdong,China,Italy,Guangdong Province,South Africa,Air Transport,Yes,1484.0,940340,Ordinary Trade
2015-01-01,Shanghai Shi,China,Italy,Shanghai Municipality,Italy,Air Transport,Yes,6573.0,940340,Ordinary Trade
2015-01-01,Beijing,China,Poland,Beijing Municipality,France,River-Sea Transportation,Yes,9975.0,940340,Ordinary Trade
2015-01-01,Hainan,China,Germany,Hainan Province,Germany,Air Transport,Yes,4839.0,940190,Ordinary Trade
2015-01-01,Jiangsu,China,Germany,Jiangsu Province,Germany,River-Sea Transportation,Yes,758585.0,940190,Ordinary Trade
2015-01-01,Jiangsu,China,United Kingdom,Jiangsu Province,United Kingdom,River-Sea Transportation,Yes,84202.0,940190,Ordinary Trade
2015-01-01,Chongqing,China,Czech Republic,Chongqing  Municipality,Czech Republic,River-Sea Transportation,Yes,123611.0,940190,Ordinary Trade
2015-01-01,Shanghai,China,Germany,Shanghai Municipality,Germany,River-Sea Transportation,Yes,840.0,940190,Ordinary Trade
2015-01-01,Guangdong,China,Taiwan,Guangdong Province,HongKong,Motor Vehicle Transportation,Yes,9802.0,940190,Storage of Transit Goods in Bonded Warehouses
2015-01-01,Guangdong,China,France,Guangdong Province,HongKong,Air Transport,Yes,26086.0,940190,Ordinary Trade
2015-01-01,Guangdong Sheng,China,"Korea, Rep.",Guangdong Province,"Korea, Rep.",Air Transport,Yes,748.0,940190,Ordinary Trade
2015-01-01,Shanghai Shi,China,Canada,Shanghai Municipality,Canada,Air Transport,Yes,641.0,940190,Ordinary Trade
2015-01-01,Shanghai,China,Taiwan,Shanghai Municipality,Taiwan,Air Transport,Yes,260.0,940190,Ordinary Trade
2015-01-01,Liaoning,China,Germany,Liaoning Province,Belgium,River-Sea Transportation,Yes,7831.0,940190,Ordinary Trade
2015-01-01,Liaoning,China,Hungary,Liaoning Province,Germany,River-Sea Transportation,Yes,1372250.0,940190,Ordinary Trade
2015-01-01,,China,Switzerland,Beijing Municipality,Germany,Air Transport,Yes,688.0,940190,Inbound/Outbound Goods in Bonded Warehouses
2015-01-01,Yunnan,China,Lao PDR,Yunnan Province,Lao PDR,Motor Vehicle Transportation,Yes,812.0,940330,Petty Frontier Trade
2015-01-01,Shanghai,China,Denmark,Shanghai Municipality,Denmark,Air Transport,Yes,401.0,940330,Ordinary Trade
2015-01-01,Sichuan Sheng,China,Vietnam,Sichuan Province,Vietnam,River-Sea Transportation,Yes,991.0,940169,Ordinary Trade
2015-01-01,Shanghai Shi,China,United States,Shanghai Municipality,United States,River-Sea Transportation,Yes,375.0,940169,Ordinary Trade
2015-01-01,Heilongjiang Sheng,China,Indonesia,Heilongjiang Province,Indonesia,River-Sea Transportation,Yes,14160.0,940169,Ordinary Trade
2015-01-01,Beijing,China,Italy,Beijing Municipality,Switzerland,Air Transport,Yes,2760.0,940169,Ordinary Trade
2015-01-01,Shandong Sheng,China,Italy,Shandong Province,Italy,River-Sea Transportation,Yes,31651.0,940350,Ordinary Trade
2015-01-01,Jiangsu Sheng,China,Germany,Jiangsu Province,Germany,River-Sea Transportation,Yes,8715.0,940350,Ordinary Trade
2015-01-01,Shanghai,China,Latvia,Shanghai Municipality,United Kingdom,River-Sea Transportation,Yes,339.0,940350,Storage of Transit Goods in Bonded Warehouses
2015-01-01,Guangdong,China,Philippines,Guangdong Province,Philippines,River-Sea Transportation,Yes,306.0,940350,Ordinary Trade
2015-01-01,Beijing,China,India,Beijing Municipality,India,River-Sea Transportation,Yes,3929.0,940350,Ordinary Trade
2015-01-01,Fujian Sheng,China,Australia,Fujian Province,Australia,River-Sea Transportation,No,15708.0,440122,Ordinary Trade
2015-01-01,Guangdong Sheng,China,Bangladesh,Guangdong Province,Bangladesh,River-Sea Transportation,Yes,70772.0,440290,Ordinary Trade
2015-01-01,Guangdong,China,Malaysia,Guangdong Province,Malaysia,River-Sea Transportation,Yes,33234.0,440725,Processing Trade with Imported Materials
2015-01-01,Hainan,China,Romania,Hainan Province,HongKong,River-Sea Transportation,Yes,246951.0,440792,Ordinary Trade
2015-01-01,Guangdong,China,Germany,Guangdong Province,Belgium,River-Sea Transportation,Yes,131089.0,440792,Ordinary Trade
2015-01-01,Zhejiang,China,Bosnia and Herzegovina,Zhejiang Province,Croatia Rep,River-Sea Transportation,Yes,32034.0,440792,Ordinary Trade
